"case","method","metric","n","mean","sample_sd","values"
"MZ_Hydro","MPC","energy_kwh","3","786.1538187143229","1.3923737144427707e-13","[786.153818714323, 786.153818714323, 786.153818714323]"
"MZ_Hydro","MPC","discomfort_zone_hours","3","0.0","0.0","[0.0, 0.0, 0.0]"
"MZ_Hydro","MPC","discomfort_pmv_hours","3","0.0","0.0","[0.0, 0.0, 0.0]"
"MZ_Hydro","MPC","occupied_peak_absolute_pmv","3","0.48","0.0","[0.48, 0.48, 0.48]"
"MZ_Hydro","MPC","total_variation_c","3","81.9313336770355","0.0","[81.9313336770355, 81.9313336770355, 81.9313336770355]"
"MZ_Hydro","MPC","direction_reversals","3","272.0","0.0","[272, 272, 272]"
"MZ_Hydro","MPC","reward","3","-182.0457896286624","0.0","[-182.0457896286624, -182.0457896286624, -182.0457896286624]"
"MZ_Hydro","PPO","total_cost","3","201.7359413229207","8.358236425686378","[196.36154439590166, 211.36554638650824, 197.4807331863522]"
"MZ_Hydro","PPO","energy_kwh","3","1308.9707491378172","54.21618923017004","[1274.241724438031, 1371.4441997061258, 1281.2263232692944]"
"MZ_Hydro","PPO","discomfort_zone_hours","3","0.0","0.0","[0.0, 0.0, 0.0]"
"MZ_Hydro","PPO","discomfort_pmv_hours","3","0.0","0.0","[0.0, 0.0, 0.0]"
"MZ_Hydro","PPO","occupied_peak_absolute_pmv","3","0.42333333333333334","0.05131601439446883","[0.38, 0.48, 0.41]"
"MZ_Hydro","PPO","total_variation_c","3","201.038416440133","14.186146606277482","[186.44148080027662, 201.8991938373074, 214.774574682815]"
"MZ_Hydro","PPO","direction_reversals","3","295.6666666666667","5.131601439446884","[300, 297, 290]"
"MZ_Hydro","PPO","reward","3","-304.456824004765","12.552821714384732","[-296.2670678842419, -318.90878920417407, -298.1946149258791]"
"MZ_Hydro","MAPPO","total_cost","3","156.74264777974204","11.334015231119501","[146.95583279036245, 154.1111904562447, 169.16092009261894]"
"MZ_Hydro","MAPPO","energy_kwh","3","1018.4761156006676","74.50448908487819","[954.1814396837979, 1001.1202730516113, 1100.1266340665936]"
"MZ_Hydro","MAPPO","discomfort_zone_hours","3","0.6666666666666666","0.9464847243000457","[1.75, 0.25, 0.0]"
"MZ_Hydro","MAPPO","discomfort_pmv_hours","3","0.02","0.032499999999999994","[0.057499999999999996, 0.0025000000000000022, 0.0]"
"MZ_Hydro","MAPPO","occupied_peak_absolute_pmv","3","0.5133333333333333","0.0650640709864771","[0.58, 0.51, 0.45]"
"MZ_Hydro","MAPPO","total_variation_c","3","1020.0061574906189","287.29247981655135","[759.4287030311534, 972.4986203340814, 1328.0911491066217]"
"MZ_Hydro","MAPPO","direction_reversals","3","350.6666666666667","54.04936015655813","[330, 310, 412]"
"MZ_Hydro","MAPPO","reward","3","-244.58074357715964","18.947528361512514","[-228.47931396243962, -239.8030990084348, -265.4598177606045]"
"MZ_Hydro","Ours","total_cost","3","113.70737152608172","1.922648552729237","[115.81427293434811, 113.25997552178644, 112.04786612211059]"
"MZ_Hydro","Ours","energy_kwh","3","743.4908569301647","12.806558360053472","[757.2945588908796, 741.1826206663757, 731.9953912332389]"
"MZ_Hydro","Ours","discomfort_zone_hours","3","5.166666666666667","1.1814539065631522","[4.75, 4.25, 6.5]"
"MZ_Hydro","Ours","discomfort_pmv_hours","3","0.17416666666666678","0.05795112883571238","[0.20250000000000007, 0.10750000000000007, 0.2125000000000001]"
"MZ_Hydro","Ours","occupied_peak_absolute_pmv","3","0.5866666666666666","0.01527525231651948","[0.59, 0.57, 0.6]"
"MZ_Hydro","Ours","total_variation_c","3","93.31333333333343","21.359085498525804","[94.60000000000005, 71.34000000000005, 114.00000000000014]"
"MZ_Hydro","Ours","direction_reversals","3","94.33333333333333","18.610033136277146","[92, 77, 114]"
"MZ_Hydro","Ours","reward","3","-175.1181457729559","3.725365745885963","[-179.32979478652217, -172.25412644917967, -173.7705160831659]"
"MZ_Air","RBC","total_cost","1","195.4054243529899","","[195.4054243529899]"
"MZ_Air","RBC","energy_kwh","1","1712.2962242807141","","[1712.2962242807141]"
"MZ_Air","RBC","discomfort_zone_hours","1","0.0","","[0.0]"
"MZ_Air","RBC","discomfort_pmv_hours","1","0.0","","[0.0]"
"MZ_Air","RBC","occupied_peak_absolute_pmv","1","0.49","","[0.49]"
"MZ_Air","RBC","total_variation_c","1","350.0","","[350.0]"
"MZ_Air","RBC","direction_reversals","1","65.0","","[65]"
"MZ_Air","RBC","reward","1","-727.1847794736854","","[-727.1847794736854]"
"MZ_Air","eRBC","total_cost","1","150.03933537196755","","[150.03933537196755]"
