case,repeat,hour,proposed_hour_reward,erbc_hour_reward,hour_reward_advantage,cumulative_reward_advantage
SZ_Air,R01,1,-0.0899375,-0.0899375,0.0,0.0
SZ_Air,R01,2,-7.174816801644127e-296,-7.174816801644127e-296,0.0,0.0
SZ_Air,R01,3,0.0,0.0,0.0,0.0
SZ_Air,R01,4,0.0,0.0,0.0,0.0
SZ_Air,R01,5,0.0,0.0,0.0,0.0
SZ_Air,R01,6,0.0,0.0,0.0,0.0
SZ_Air,R01,7,0.0,0.0,0.0,0.0
SZ_Air,R01,8,-0.354971549538445,-1.2662965971172544,0.9113250475788094,0.9113250475788094
SZ_Air,R01,9,-2.49675277201418,-1.9963653797028758,-0.5003873923113042,0.41093765526750514
SZ_Air,R01,10,-4.726847186925556,-4.581376054732284,-0.145471132193272,0.26546652307423313
SZ_Air,R01,11,-5.8233309660373145,-6.177935034968507,0.35460406893119245,0.6200705920054256
SZ_Air,R01,12,-7.2011464514650525,-7.550796447484005,0.3496499960189521,0.9697205880243777
SZ_Air,R01,13,-8.165777945551394,-8.50667939512071,0.3409014495693157,1.3106220375936934
SZ_Air,R01,14,-8.789131660043424,-9.007093810006783,0.21796214996335905,1.5285841875570525
SZ_Air,R01,15,-14.405386979470176,-14.758885128810325,0.3534981493401492,1.8820823368972017
SZ_Air,R01,16,-13.774813964020517,-14.103477454913062,0.328663490892545,2.2107458277897467
SZ_Air,R01,17,-11.976158000903922,-12.271886804528688,0.2957288036247654,2.506474631414512
SZ_Air,R01,18,-10.177936266771571,-10.435548787444565,0.25761252067299445,2.7640871520875065
SZ_Air,R01,19,-1.0766609215179368,-1.1689839334129668,0.09232301189503,2.8564101639825363
SZ_Air,R01,20,-1.1436890532631563e-45,-4.841609121568229e-50,-1.1436406371719406e-45,2.8564101639825363
SZ_Air,R01,21,-4.611764846612562e-97,-1.7490643925812472e-101,-4.6115899401733036e-97,2.8564101639825363
SZ_Air,R01,22,-1.9451104980400116e-148,-4.33987333364253e-152,-1.9446765107066473e-148,2.8564101639825363
SZ_Air,R01,23,-3.456901822133291e-199,-1.0516993246073684e-203,-3.4567966522008302e-199,2.8564101639825363
SZ_Air,R01,24,-1.079697950194187e-250,-7.9211785913345975e-255,-1.0796187384082737e-250,2.8564101639825363
SZ_Air,R01,25,-7.563033919507326e-309,-3.88386656694e-312,-7.559150052940384e-309,2.8564101639825363
SZ_Air,R01,26,0.0,0.0,0.0,2.8564101639825363
SZ_Air,R01,27,0.0,0.0,0.0,2.8564101639825363
SZ_Air,R01,28,0.0,0.0,0.0,2.8564101639825363
SZ_Air,R01,29,0.0,0.0,0.0,2.8564101639825363
SZ_Air,R01,30,0.0,0.0,0.0,2.8564101639825363
SZ_Air,R01,31,0.0,0.0,0.0,2.8564101639825363
SZ_Air,R01,32,-0.9069194528458921,-1.4826304388884746,0.5757109860425824,3.432121150025119
SZ_Air,R01,33,-2.4564938682672066,-2.2220884022699217,-0.23440546599728496,3.197715684027834
SZ_Air,R01,34,-5.340406562306603,-5.17276476047884,-0.167641801827763,3.030073882200071
SZ_Air,R01,35,-6.748838756474166,-6.59081696682123,-0.15802178965293567,2.8720520925471353
SZ_Air,R01,36,-7.967293636252336,-7.8182464279078445,-0.14904720834449137,2.723004884202644
SZ_Air,R01,37,-8.739876632432933,-8.81581482223427,0.07593818980133626,2.7989430740039802
SZ_Air,R01,38,-9.584768190048145,-9.428932098951236,-0.15583609109690855,2.6431069829070717
SZ_Air,R01,39,-15.353203736319314,-15.137856765082919,-0.21534697123639468,2.427760011670677
SZ_Air,R01,40,-12.119829143158615,-11.941661134201278,-0.17816800895733742,2.2495920027133396
SZ_Air,R01,41,-9.827318896912635,-9.67790357868802,-0.14941531822461407,2.1001766844887255
SZ_Air,R01,42,-9.423642216115892,-9.293572664031833,-0.13006955208405913,1.9701071324046664
SZ_Air,R01,43,-0.9675884040994616,-1.0524370836741206,0.08484867957465902,2.054955811979325
SZ_Air,R01,44,-8.427296663054255e-33,-5.989472644937892e-36,-8.421307190409317e-33,2.054955811979325
SZ_Air,R01,45,-8.715206815970942e-67,-1.5658855205564895e-69,-8.699547960765377e-67,2.054955811979325
SZ_Air,R01,46,-6.170556053961438e-100,-1.854447148247852e-102,-6.152011582478959e-100,2.054955811979325
SZ_Air,R01,47,-8.189154669730496e-135,-8.897529083069395e-136,-7.299401761423556e-135,2.054955811979325
SZ_Air,R01,48,-3.723635181242461e-166,-4.9321018987282545e-170,-3.7231419710525883e-166,2.054955811979325
SZ_Air,R01,49,-6.797661195184611e-211,-4.018181753658196e-214,-6.793643013430953e-211,2.054955811979325
SZ_Air,R01,50,-1.1440110446827203e-286,-7.540985665364408e-290,-1.143256946116184e-286,2.054955811979325
SZ_Air,R01,51,0.0,0.0,0.0,2.054955811979325
SZ_Air,R01,52,0.0,0.0,0.0,2.054955811979325
SZ_Air,R01,53,0.0,0.0,0.0,2.054955811979325
SZ_Air,R01,54,0.0,0.0,0.0,2.054955811979325
SZ_Air,R01,55,0.0,0.0,0.0,2.054955811979325
SZ_Air,R01,56,-0.06962374942190791,-0.7781644581098643,0.7085407086879565,2.7634965206672817
SZ_Air,R01,57,-1.8869354102853424,-1.4797820103537191,-0.40715339993162325,2.3563431207356587
SZ_Air,R01,58,-3.5469111065129955,-3.7271731998921322,0.1802620933791368,2.5366052141147954
SZ_Air,R01,59,-5.052872925842155,-5.339830109667135,0.28695718382498026,2.8235623979397757
SZ_Air,R01,60,-6.623109290055246,-6.915288500716865,0.2921792106616188,3.1157416086013945
SZ_Air,R01,61,-7.763447351198369,-8.05651125482144,0.29306390362307155,3.408805512224466
SZ_Air,R01,62,-8.494371949759374,-8.78241024267016,0.28803829291078564,3.6968438051352517
SZ_Air,R01,63,-13.907193858045774,-14.563003196854831,0.6558093388090569,4.352653143944309
SZ_Air,R01,64,-12.662467374318677,-13.815637274103159,1.1531698997844817,5.505823043728791
SZ_Air,R01,65,-11.740794783198472,-12.754544500258685,1.0137497170602128,6.5195727607890035
SZ_Air,R01,66,-11.04742822531555,-11.964955020960598,0.917526795645049,7.4370995564340525
SZ_Air,R01,67,-3.6567218760891627,-1.5823890826847367,-2.074332793404426,5.362766763029627
SZ_Air,R01,68,-0.9131373465300379,-0.04288503988851009,-0.8702523066415278,4.492514456388099
SZ_Air,R01,69,-0.0089937500000015,-2.5240183768617334e-39,-0.0089937500000015,4.483520706388097
SZ_Air,R01,70,-4.104240133677475e-35,-7.582854649247783e-91,-4.104240133677475e-35,4.483520706388097
SZ_Air,R01,71,-2.0213894853135883e-54,-7.625384832185117e-148,-2.0213894853135883e-54,4.483520706388097
SZ_Air,R01,72,-1.457134628666563e-75,-1.5567400758153342e-223,-1.457134628666563e-75,4.483520706388097
SZ_Air,R01,73,-6.314504244438036e-109,-4.2398109784592446e-300,-6.314504244438036e-109,4.483520706388097
SZ_Air,R01,74,-5.059080124140335e-185,0.0,-5.059080124140335e-185,4.483520706388097
SZ_Air,R01,75,-1.1509627829425743e-260,0.0,-1.1509627829425743e-260,4.483520706388097
SZ_Air,R01,76,0.0,0.0,0.0,4.483520706388097
SZ_Air,R01,77,0.0,0.0,0.0,4.483520706388097
SZ_Air,R01,78,0.0,0.0,0.0,4.483520706388097
SZ_Air,R01,79,0.0,0.0,0.0,4.483520706388097
SZ_Air,R01,80,-1.5410158575404858,-1.5168550949065436,-0.02416076263394218,4.459359943754155
SZ_Air,R01,81,-2.259805895579051,-2.232732840817686,-0.0270730547613649,4.43228688899279
