"repeat","case","configuration","evaluation_hours","zones","source_commit","reward","cost","energy_kwh","zone_h","pmv_h","occupied_peak_abs_pmv","tv_c","reversals","v_state_c","r_int_fraction","retries_per_control_hour","retried_logical_call_count","additional_request_attempt_count","orchestrator_fallback_count","policy_adapter_fallback_count","reflector_fallback_count","agent_fallback_count","fallbacks_per_control_hour","prompt_tokens","completion_tokens","total_tokens","cached_prompt_tokens","logical_calls_checked","total_ktokens_per_control_hour","effective_llm_latency_s_per_control_hour","api_cost_usd_per_run"
"R02","SZ_Air","B6_EdgeTiming","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-629.0185939266325","5.191903231739239","53.6728357998578","8.75","0.1425000000000001","0.57","69.80000000000001","43.0","0.01793774801587273","0.002976190476190476","0.0","0","0","1","9","19","29","0.17261904761904762","1520089","1137318","2657407","0","504","15.81789880952381","71.7432392839269","0.5312615"
"R03","SZ_Air","B6_EdgeTiming","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-625.3341654511275","5.17651809647881","53.39262819948156","2.0","0.04750000000000004","0.53","70.20000000000005","49.0","0.006739831349206682","0.001488095238095238","0.0","0","0","6","4","11","21","0.125","1513202","1113137","2626339","0","504","15.632970238095238","42.3568680976191","0.52352664"
"R01","SZ_Air","B7_CoordOff","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-673.3777246573273","5.2863264699377455","56.122288643835745","2.5","0.32500000000000007","0.65","62.30000000000004","54.0","0.03451672335600666","0.00744047619047619","0.005952380952380952","1","1","0","3","20","23","0.13690476190476192","1059639","696507","1756146","0","336","10.45325","36.538950565476625","0.34337142000000004"
"R02","SZ_Air","B7_CoordOff","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-625.3540786790049","5.181631871027047","53.70622053009518","3.0","0.03500000000000003","0.52","71.56000000000007","73.0","0.005186366213152125","0.010416666666666666","0.005952380952380952","1","1","0","3","19","22","0.13095238095238096","1062581","665764","1728345","0","336","10.287767857142857","32.811727841665004","0.33517526000000003"
"R03","SZ_Air","B7_CoordOff","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-629.079114687089","5.210881965187386","54.20906513467331","1.5","0.025000000000000022","0.55","69.60000000000007","93.0","0.00992506377551022","0.0","0.0","0","0","0","0","13","13","0.07738095238095238","1086515","642944","1729459","0","336","10.294398809523809","24.43757276249982","0.33213642000000004"
"R01","SZ_Air","B8_NoThinking","168","1","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-671.6024351088046","5.478284522573213","56.87488484228175","2.5","0.18249999999999988","0.58","83.00000000000003","43.0","0.014652423469387514","0.0","0.017857142857142856","2","3","4","0","46","50","0.2976190476190476","1436380","74167","1510547","0","504","8.991351190476191","9.985994767262863","0.22185996000000002"
"R02","SZ_Air","B8_NoThinking","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-646.2990001902427","5.3581103880946115","56.05560933592117","0.0","0.0","0.5","75.20000000000002","37.0","0.004544447987528355","0.0","0.0","0","0","3","1","43","47","0.27976190476190477","1477705","96172","1573877","0","504","9.368315476190476","7.52070071071423","0.23380686"
"R03","SZ_Air","B8_NoThinking","168","1","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-672.5796604591882","5.464811547977895","56.8565603199653","5.75","0.29250000000000004","0.57","89.60000000000002","67.0","0.0067637471655331086","0.0","0.0","0","0","7","0","43","50","0.2976190476190476","1441184","75708","1516892","0","504","9.029119047619048","6.987284786904205","0.222964"
"R01","MZ_Hydro","STANDARD","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-179.32979478652217","115.81427293434811","757.2945588908796","4.75","0.20250000000000007","0.59","94.60000000000005","92.0","0.03216232638888783","0.004166666666666667","0.0","0","0","4","11","3","18","0.15","1738022","1468434","3206456","0","480","26.720466666666667","68.45704923416524","0.6544846000000001"
"R02","MZ_Hydro","STANDARD","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-172.25412644917967","113.25997552178644","741.1826206663757","4.25","0.10750000000000007","0.57","71.34000000000005","77.0","0.026688541666665757","0.003125","0.016666666666666666","2","2","1","6","5","12","0.1","1750738","1446500","3197238","0","480","26.64365","86.27268872249854","0.6501233200000001"
"R03","MZ_Hydro","STANDARD","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-173.7705160831659","112.04786612211059","731.9953912332389","6.5","0.2125000000000001","0.6","114.00000000000014","114.0","0.031681423611109656","0.0","0.016666666666666666","1","2","4","11","2","17","0.14166666666666666","1722445","1417744","3140189","0","480","26.168241666666663","47.795967675002366","0.6381106200000001"
"R01","MZ_Hydro","B1_WM0","120","2","1058f958438e40e23bbbdcd85a2d4603ce652a1d","-191.08030107494","119.31159909495999","777.6302410134999","13.5","0.4900000000000002","0.62","132.7","160.0","0.024160590277778126","0.004166666666666667","0.025","2","3","1","5","4","10","0.08333333333333333","1230226","1437485","2667711","0","480","22.230925","98.35608659416127","0.5747274400000001"
"R02","MZ_Hydro","B1_WM0","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-179.39131341111764","111.48744980874508","729.2261655361721","14.0","0.5150000000000003","0.64","138.0800000000001","156.0","0.008420659722222496","0.0","0.0","0","0","2","5","1","8","0.06666666666666667","1221842","1434738","2656580","0","480","22.138166666666667","92.03561083749665","0.57278452"
"R03","MZ_Hydro","B1_WM0","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-177.91938111206917","113.97111508137945","744.4050722413929","9.5","0.3325000000000003","0.57","130.40000000000018","154.0","0.013920833333332676","0.0","0.0","0","0","0","3","5","8","0.06666666666666667","1218379","1368191","2586570","0","480","21.55475","53.55424266333551","0.55366654"
"R01","MZ_Hydro","B2_WM2","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-172.6527769844101","112.5278515272734","736.0357317001419","5.5","0.16750000000000015","0.56","114.2600000000001","124.0","0.02069079861111171","0.0","0.0","0","0","3","11","7","21","0.175","2332131","1440891","3773022","0","480","31.44185","61.061690435833356","0.72994782"
"R02","MZ_Hydro","B2_WM2","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-172.59799635133479","112.89096066922319","738.7124092165171","4.25","0.13250000000000006","0.58","96.10000000000008","88.0","0.03577500000000095","0.0","0.0","0","0","3","7","2","12","0.1","2281302","1430081","3711383","0","480","30.928191666666667","73.32043481082995","0.71980496"
"R03","MZ_Hydro","B2_WM2","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-174.78689289340255","114.10240082326837","745.477691248504","7.25","0.17750000000000013","0.58","115.66000000000008","112.0","0.028322309027778658","0.0","0.008333333333333333","1","1","3","7","5","15","0.125","2295638","1321901","3617539","0","480","30.146158333333332","50.26578817416303","0.6915216000000001"
"R01","MZ_Hydro","B3_WM3","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-175.84983685943624","112.80516458862417","738.4593107746296","6.25","0.23750000000000013","0.62","118.9400000000001","130.0","0.024836979166665555","0.0","0.0","0","0","2","6","5","13","0.10833333333333334","2805501","1358180","4163681","0","480","34.69734166666667","56.34971968333358","0.77306054"
"R02","MZ_Hydro","B3_WM3","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-177.80235962800433","114.74163959266956","751.8258289040386","7.0","0.25250000000000017","0.57","108.44000000000005","90.0","0.03351432291666622","0.0","0.0","0","0","1","4","2","7","0.058333333333333334","2817794","1318202","4135996","0","480","34.466633333333334","69.77309821666616","0.7635877200000001"
"R03","MZ_Hydro","B3_WM3","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-177.06231976927143","115.59663419684762","756.4913066018921","3.5","0.12750000000000006","0.59","104.04000000000008","71.0","0.01667838541666593","0.0010416666666666667","0.025","2","3","5","6","4","15","0.125","2832649","1398853","4231502","0","480","35.26251666666667","58.91575081083283","0.7882497"
"R01","MZ_Hydro","B4_CausalOff","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-175.1876840933663","114.4735524707442","749.5587491591535","6.0","0.1575000000000001","0.58","86.51000000000003","110.0","0.053306510416667105","0.005208333333333333","0.025","2","3","2","4","3","9","0.075","1641357","1328746","2970103","0","480","24.750858333333333","69.32253955166671","0.6018388600000001"
"R02","MZ_Hydro","B4_CausalOff","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-186.8243197541332","108.2468593410888","706.3958345876165","11.5","0.6075000000000002","0.67","120.29999999999998","118.0","0.035055381944444554","0.010416666666666666","0.0","0","0","0","0","6","6","0.05","1655130","1291194","2946324","0","480","24.5527","77.67529083750196","0.5932525200000001"
"R03","MZ_Hydro","B4_CausalOff","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-174.5977352409047","109.88750963226981","717.4461474038475","11.5","0.42000000000000026","0.58","118.30000000000007","106.0","0.04001467013889246","0.003125","0.0","0","0","0","3","3","6","0.05","1661546","1347026","3008572","0","480","25.071433333333335","63.96557964000006","0.6097837200000001"
"R01","MZ_Hydro","B5_MissingSolarZoneEdge","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-178.76666800097902","117.09182535495268","763.6454521706767","3.25","0.11000000000000007","0.57","120.85800000000009","89.0","0.021005746527777265","0.0","0.016666666666666666","2","2","1","6","3","10","0.08333333333333333","1734671","1432918","3167589","0","480","26.396575000000002","83.76357945166691","0.6440709800000001"
"R02","MZ_Hydro","B5_MissingSolarZoneEdge","120","2","bd6701e13724948c3a0c37d74cd443dd1f7d68cb","-170.6584828307267","111.6796403928178","731.2738658516541","4.5","0.1350000000000001","0.57","108.34000000000006","97.0","0.023195833333332416","0.0","0.008333333333333333","1","1","2","3","2","7","0.058333333333333334","1777549","1398179","3175728","0","480","26.4644","82.28893029333534","0.6403469800000001"
"R03","MZ_Hydro","B5_MissingSolarZoneEdge","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-263.1749670978745","126.59063601858301","825.5701245153932","9.25","1.1949999999999998","0.7","107.20000000000002","36.0","0.02438645833333315","0.005208333333333333","0.0","0","0","2","18","4","24","0.2","1655497","1682296","3337793","0","480","27.814941666666666","69.66994600166633","0.7028124600000001"
"R01","MZ_Hydro","B6_EdgeTiming","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-172.74728372527218","112.52017151918146","735.5894065185323","4.5","0.15500000000000005","0.57","100.14000000000004","90.0","0.040268923611112284","0.0","0.016666666666666666","2","2","2","5","3","10","0.08333333333333333","1745588","1427948","3173536","0","480","26.446133333333336","90.52368130250004","0.6442077600000001"
"R02","MZ_Hydro","B6_EdgeTiming","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-174.19095371244146","113.9693285382943","743.6271280040509","2.75","0.09750000000000003","0.59","113.8000000000001","98.0","0.027332465277779435","0.003125","0.0","0","0","0","8","1","9","0.075","1765592","1446360","3211952","0","480","26.766266666666667","88.82732979166855","0.65216368"
"R03","MZ_Hydro","B6_EdgeTiming","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-175.40610262585398","113.94203384490265","746.3167678693953","7.0","0.2100000000000001","0.57","107.66000000000003","86.0","0.03282413194444383","0.0","0.008333333333333333","1","1","2","12","2","16","0.13333333333333333","1731799","1523264","3255063","0","480","27.125525000000003","63.52575411083341","0.6689657800000001"
"R01","MZ_Hydro","B7_CoordOff","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-190.4596606642694","114.51858401951294","746.3229447702493","4.25","0.30500000000000005","0.71","124.60000000000011","100.0","0.01445052083333208","0.005208333333333333","0.008333333333333333","1","1","0","7","2","9","0.075","1377756","1055322","2433078","0","360","20.275650000000002","39.86381679416687","0.48837600000000003"
"R02","MZ_Hydro","B7_CoordOff","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-177.10861394409596","114.85231504273064","751.1016896907871","9.5","0.23250000000000018","0.61","94.80000000000005","94.0","0.024524999999998718","0.0","0.016666666666666666","2","2","0","1","6","7","0.058333333333333334","1416033","1020061","2436094","0","360","20.30078333333333","45.078670455","0.48386170000000006"
"R03","MZ_Hydro","B7_CoordOff","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-280.0740302101736","114.67582462511575","751.4749655956571","18.5","1.8850000000000002","0.76","179.10000000000005","122.0","0.026779947916666033","0.03333333333333333","0.0","0","0","0","2","5","7","0.058333333333333334","1403110","965486","2368596","0","360","19.7383","33.33471031916676","0.46677148"
"R01","MZ_Hydro","B8_NoThinking","120","2","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-185.10493452142518","118.90944363761679","778.3245695965501","3.25","0.2025","0.59","107.4","22.0","0.0009270833333333238","0.0","0.0","0","0","2","0","12","14","0.11666666666666667","1683242","84837","1768079","0","480","14.733991666666666","25.976958508333823","0.25940824000000007"
"R02","MZ_Hydro","B8_NoThinking","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-197.3885624659379","130.92977953062527","855.8294945734349","0.0","0.0","0.47","103.20000000000003","38.0","0.007737847222222202","0.0","0.0","0","0","2","1","15","18","0.15","1679657","79868","1759525","0","480","14.662708333333335","8.434461973334935","0.25751502000000004"
"R03","MZ_Hydro","B8_NoThinking","120","2","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-176.52272452381473","116.50758242087647","760.7893610223598","2.25","0.04750000000000004","0.56","114.30000000000004","66.0","0.01003993055555556","0.0","0.0","0","0","3","0","11","14","0.11666666666666667","1718620","85024","1803644","0","480","15.030366666666668","8.777696344167149","0.26441352"
"R01","MZ_Air","STANDARD","168","5","8becfad87d0acf6f91a687879c3da7eff5847a45","-532.3449738275593","141.0694848197105","1333.8069855956103","14.25","0.5399999999999996","0.67","396.3320000000003","249.0","0.029357320011337562","0.0017857142857142857","0.011904761904761904","1","2","6","20","5","31","0.18452380952380953","5438174","4096289","9534463","0","1176","56.75275595238095","83.90942966964316","1.9083052800000002"
"R02","MZ_Air","STANDARD","168","5","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-542.8600962616995","143.4640096013709","1333.2622960600163","7.0","0.36000000000000004","0.69","575.3000000000002","316.0","0.04774624433106126","0.0011904761904761906","0.041666666666666664","6","7","5","29","2","36","0.21428571428571427","5417603","4370534","9788137","0","1176","58.262720238095234","116.00668639643084","1.9822139399999998"
"R03","MZ_Air","STANDARD","168","5","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-529.8182658811446","140.63196596512518","1313.2701876955823","14.5","0.46250000000000024","0.61","554.0200000000002","318.0","0.05692770337300465","0.007142857142857143","0.0","0","0","1","26","4","31","0.18452380952380953","5449617","4179233","9628850","0","1176","57.31458333333334","62.62158205714253","1.9331316200000004"
"R01","MZ_Air","B1_WM0","168","5","1058f958438e40e23bbbdcd85a2d4603ce652a1d","-576.7080732571588","151.17262829620842","1401.0387815145623","10.5","0.6300000000000001","0.7","614.0000000000002","314.0","0.02796010487528302","0.0035714285714285713","0.005952380952380952","1","1","12","14","3","29","0.17261904761904762","3776964","4217314","7994278","0","1176","47.58498809523809","137.80491176845646","1.7096228800000004"
"R02","MZ_Air","B1_WM0","168","5","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-620.5802922363164","164.28351330183725","1510.3881160348844","12.0","0.5750000000000002","0.62","501.82000000000016","225.0","0.04626739654194228","0.0005952380952380953","0.0","0","0","9","9","3","21","0.125","3647422","4076006","7723428","0","1176","45.97278571428572","105.9762825154761","1.6519207600000003"
"R03","MZ_Air","B1_WM0","168","5","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-563.399349360203","147.56873627821037","1386.392947465065","14.75","0.6875000000000002","0.76","702.5600000000003","345.0","0.05637262613377283","0.009226190476190476","0.017857142857142856","3","3","11","11","2","24","0.14285714285714285","3756353","3871975","7628328","0","1176","45.40671428571428","85.45204154999581","1.6100424199999999"
"R01","MZ_Air","B2_WM2","168","5","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-516.6818141839176","136.8182390683722","1291.1555302991367","10.75","0.5100000000000002","0.6","412.6600000000001","229.0","0.06324537627549957","0.00505952380952381","0.0","0","0","6","25","3","34","0.20238095238095238","7094607","4302623","11397230","0","1176","67.84065476190476","80.3661018589285","2.1979794200000002"
"R02","MZ_Air","B2_WM2","168","5","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-534.7585979811491","142.46399182217073","1340.0188871488692","8.0","0.28000000000000014","0.72","383.0800000000004","292.0","0.0346603776927409","0.001488095238095238","0.011904761904761904","1","2","3","29","4","36","0.21428571428571427","7142156","4197848","11340004","0","1176","67.50002380952381","83.94013534464241","2.1752992800000004"
"R03","MZ_Air","B2_WM2","168","5","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-530.2629619700091","138.86280628919036","1306.4521673139832","9.0","0.5574999999999999","0.71","533.4600000000003","323.0","0.05524240008502844","0.0026785714285714286","0.005952380952380952","1","1","8","23","4","35","0.20833333333333334","7089705","4032291","11121996","0","1176","66.20235714285714","73.45280257321151","2.12160018"
"R01","MZ_Air","B3_WM3","168","5","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-533.3050488227392","141.9221347532338","1313.108000516846","11.0","0.33750000000000024","0.6","595.4600000000003","302.0","0.07347064554987637","0.004761904761904762","0.03571428571428571","5","6","5","28","6","39","0.23214285714285715","8736209","4239367","12975576","0","1176","77.23557142857143","90.79082154999989","2.41009202"
"R02","MZ_Air","B3_WM3","168","5","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-502.08793808088814","134.24641307041318","1234.7939361081762","9.25","0.19500000000000015","0.58","430.7600000000002","313.0","0.04887910997731023","0.0011904761904761906","0.011904761904761904","2","2","2","24","9","35","0.20833333333333334","8812128","3909795","12721923","0","1176","75.72573214285714","105.5729397339289","2.3284405200000005"
"R03","MZ_Air","B3_WM3","168","5","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-562.869779924438","145.45733449240436","1398.3032569458217","15.0","1.0374999999999999","0.72","573.4000000000001","290.0","0.046677915958045046","0.00505952380952381","0.011904761904761904","2","2","2","23","3","28","0.16666666666666666","8809891","3912094","12721985","0","1176","75.72610119047619","77.27088568868791","2.3287710600000007"
"R01","MZ_Air","B4_CausalOff","168","5","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-536.4015578458337","142.15589817531128","1285.6219836848977","16.5","0.61","0.61","490.2800000000001","373.0","0.040397711167802386","0.007142857142857143","0.03571428571428571","4","6","0","15","4","19","0.1130952380952381","5030796","3960051","8990847","0","1176","53.51694642857143","106.0753129678575","1.8131257200000002"
"R02","MZ_Air","B4_CausalOff","168","5","bd6701e13724948c3a0c37d74cd443dd1f7d68cb","-537.3877276954769","142.8173784243643","1326.8063362983362","10.25","0.45750000000000013","0.6","434.7600000000001","281.0","0.04673235544216455","0.003869047619047619","0.011904761904761904","2","2","2","10","1","13","0.07738095238095238","5086191","3630302","8716493","0","1176","51.88388690476191","101.76956903333502","1.7285513000000003"
"R03","MZ_Air","B4_CausalOff","168","5","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-520.0922187693967","138.08871880501434","1298.6075123685966","10.5","0.3150000000000002","0.64","716.408","420.0","0.054928794642850096","0.010416666666666666","0.011904761904761904","1","2","6","5","2","13","0.07738095238095238","5126243","3895736","9021979","0","1176","53.70225595238095","79.15852110357135","1.8084801000000001"
"R01","MZ_Air","B5_MissingSolarZoneEdge","168","5","35b382bac6b7cfc3a8eb6b3f043a101b490fcf8c","-504.2561714057421","134.54950729493385","1245.819031666331","9.0","0.2650000000000001","0.58","447.9200000000002","266.0","0.05564168792516267","0.002380952380952381","0.017857142857142856","3","3","3","19","2","24","0.14285714285714285","5419138","4155697","9574835","0","1176","56.99306547619047","114.54549307916676","1.9222744800000002"
"R02","MZ_Air","B5_MissingSolarZoneEdge","168","5","bd6701e13724948c3a0c37d74cd443dd1f7d68cb","-544.4492282257154","145.47790180948033","1357.4160689203104","7.0","0.1925000000000001","0.63","420.3000000000001","202.0","0.01411732922335885","0.0","0.011904761904761904","2","2","1","25","3","29","0.17261904761904762","5357806","3999876","9357682","0","1176","55.70048809523809","115.7159050113069","1.8700581200000002"
"R03","MZ_Air","B5_MissingSolarZoneEdge","168","5","f4b272f055e3daae296e8c1b7d5c180ef34af23f","-531.3297530735691","140.1884088055152","1307.4662967042802","11.5","0.56","0.71","473.16000000000014","216.0","0.06947396719102907","0.002976190476190476","0.0","0","0","5","26","2","33","0.19642857142857142","5274449","4106093","9380542","0","1176","55.83655952380953","74.9966594744055","1.8881289"
