case,repeat,hour,zone,category,operation,status,program_version_before,program_version_after,program_hash_before,program_hash_after,transition_ok
MZ_Air,R02,72,sou,explicit_no_change,no_change,accepted,14,14,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,True
MZ_Air,R02,72,wes,explicit_no_change,no_change,accepted,18,18,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,72,cor,explicit_no_change,no_change,accepted,19,19,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,True
MZ_Air,R02,72,nor,replace_rule,replace_rule,accepted,20,21,3d0ac101d50754abb3c1bf42585ea9202650079807e476ecb36a92e48a25f8d8,96dc6cad6a85b535fd09866f62a74441854034c17a0b545b9bf0feba0b0b4c90,True
MZ_Air,R02,73,nor,explicit_no_change,no_change,accepted,21,21,96dc6cad6a85b535fd09866f62a74441854034c17a0b545b9bf0feba0b0b4c90,96dc6cad6a85b535fd09866f62a74441854034c17a0b545b9bf0feba0b0b4c90,True
MZ_Air,R02,73,cor,explicit_no_change,no_change,accepted,19,19,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,True
MZ_Air,R02,73,eas,explicit_no_change,no_change,accepted,29,29,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,True
MZ_Air,R02,73,sou,explicit_no_change,no_change,accepted,14,14,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,True
MZ_Air,R02,73,wes,explicit_no_change,no_change,accepted,18,18,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,74,nor,replace_rule,replace_rule,accepted,21,22,96dc6cad6a85b535fd09866f62a74441854034c17a0b545b9bf0feba0b0b4c90,460624aec7f470dbbd7cb94536faf1a1f2401f86b4a27d26e407775580dbe594,True
MZ_Air,R02,74,cor,explicit_no_change,no_change,accepted,19,19,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,True
MZ_Air,R02,74,eas,explicit_no_change,no_change,accepted,29,29,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,True
MZ_Air,R02,74,sou,explicit_no_change,no_change,accepted,14,14,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,True
MZ_Air,R02,74,wes,explicit_no_change,no_change,accepted,18,18,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,75,nor,explicit_no_change,no_change,accepted,22,22,460624aec7f470dbbd7cb94536faf1a1f2401f86b4a27d26e407775580dbe594,460624aec7f470dbbd7cb94536faf1a1f2401f86b4a27d26e407775580dbe594,True
MZ_Air,R02,75,cor,explicit_no_change,no_change,accepted,19,19,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,True
MZ_Air,R02,75,eas,explicit_no_change,no_change,accepted,29,29,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,True
MZ_Air,R02,75,sou,explicit_no_change,no_change,accepted,14,14,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,True
MZ_Air,R02,75,wes,explicit_no_change,no_change,accepted,18,18,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,76,nor,explicit_no_change,no_change,accepted,22,22,460624aec7f470dbbd7cb94536faf1a1f2401f86b4a27d26e407775580dbe594,460624aec7f470dbbd7cb94536faf1a1f2401f86b4a27d26e407775580dbe594,True
MZ_Air,R02,76,cor,explicit_no_change,no_change,accepted,19,19,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,True
MZ_Air,R02,76,eas,explicit_no_change,no_change,accepted,29,29,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,True
MZ_Air,R02,76,sou,explicit_no_change,no_change,accepted,14,14,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,b722ac4385c82dff38140653769836ea14b91cf1fe850364ac7f4e3326e860bb,True
MZ_Air,R02,76,wes,explicit_no_change,no_change,accepted,18,18,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,c95cede6b37a6285e628071aad8dbd6649f6eb15fce2551560142961fbee83e3,True
MZ_Air,R02,77,nor,explicit_no_change,no_change,accepted,22,22,460624aec7f470dbbd7cb94536faf1a1f2401f86b4a27d26e407775580dbe594,460624aec7f470dbbd7cb94536faf1a1f2401f86b4a27d26e407775580dbe594,True
MZ_Air,R02,77,cor,explicit_no_change,no_change,accepted,19,19,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,806833afb3b2d652a72dd57b374f2babc4cf9682a73f7f77b551b982f53786c2,True
MZ_Air,R02,77,eas,explicit_no_change,no_change,accepted,29,29,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,13c626927c2046a9cca572c1c68be836485e97b6b191ad6dd41db6b24d654c1c,True
